,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist,cluster_km,cluster_ag
152,0.701,0.758,0.09090909090909091,0.8146688058675222,0.0405,0.004,0.0,0.13,0.344,0.626108059541122,Mony Mony,Billy Idol,48,18
153,0.53,0.864,0.36363636363636365,0.8430896172358469,0.061,0.000753,0.000459,0.354,0.484,0.7702553747255904,Rebel Yell,Billy Idol,5,19
154,0.673,0.814,0.8181818181818182,0.8218656887462754,0.0367,0.0133,0.00293,0.343,0.728,0.6817078705804982,White Wedding,Billy Idol,32,12
155,0.69,0.837,0.6363636363636364,0.6888837955535182,0.0289,0.127,7.2e-06,0.102,0.967,0.5271306699765652,Allentown,Billy Joel,0,28
156,0.52,0.737,0.0,0.5328902131560852,0.0972,0.156,7.55e-06,0.0866,0.728,0.6940644133421021,Big Shot,Billy Joel,28,18
157,0.392,0.629,0.0,0.662617465046986,0.0447,0.562,6.12e-05,0.374,0.539,0.6792254466973574,Captain Jack,Billy Joel,36,5
158,0.691,0.726,0.4545454545454546,0.7328443731377492,0.0543,0.138,0.0,0.11,0.868,0.45581192860252506,Don't Ask Me Why,Billy Joel,0,7
159,0.598,0.398,0.0,0.4186110474444189,0.0613,0.152,0.0,0.116,0.135,0.5980279550570125,Goodnight Saigon,Billy Joel,12,3
160,0.752,0.684,0.0,0.7215677286270914,0.15,0.0994,0.0,0.0897,0.539,0.653373039765096,It's Still Rock And Roll To Me,Billy Joel,48,18
161,0.422,0.751,0.18181818181818182,0.7513637405454962,0.0483,0.0348,0.000161,0.988,0.321,0.3685010050111617,Miami 2017 {seen The Lights Go Out On Broadway} (live 1,Billy Joel,45,33
162,0.664,0.88,0.18181818181818182,0.8402933761173503,0.0326,0.465,1.63e-05,0.0591,0.895,0.6201335692253541,Movin' Out (Anthony's Song),Billy Joel,3,42
163,0.741,0.647,0.18181818181818182,0.47957827183130863,0.0427,0.108,0.00139,0.0555,0.804,0.6071610518808067,My Life,Billy Joel,31,0
164,0.506,0.373,0.0,0.6356635342654136,0.0347,0.495,3.72e-05,0.324,0.195,0.5616391407849276,New York State Of Mind,Billy Joel,12,3
165,0.579,0.872,0.0,0.7890900756360302,0.159,0.159,0.0,0.0935,0.761,0.35297659296584816,Only The Good Die Young,Billy Joel,48,18
166,0.331,0.55,0.0,0.7727251890900756,0.0272,0.605,3.96e-06,0.192,0.429,0.8231550866532666,Piano Man,Billy Joel,36,38
167,0.459,0.69,0.6363636363636364,0.6043548017419207,0.0469,0.316,7.55e-05,0.354,0.704,0.42568011930455085,Prelude/angry Young Man,Billy Joel,18,9
168,0.415,0.931,0.4545454545454546,0.8412560165024066,0.126,0.407,0.000501,0.114,0.339,0.4536583332561436,Scenes From An Italian Restaurant,Billy Joel,46,10
169,0.292,0.324,0.2727272727272727,0.5200091680036671,0.0346,0.797,0.000473,0.12,0.384,0.8180466658638929,SHE'S ALWAYS A WOMAN,Billy Joel,36,21
170,0.614,0.815,0.6363636363636364,0.7994499197799678,0.12,0.0735,1.34e-05,0.563,0.94,0.7468853916764697,Sometimes A Fantasy,Billy Joel,38,31
171,0.408,0.596,0.0,0.7150126060050424,0.0682,0.567,0.000174,0.0693,0.341,0.3917922544669736,The Ballad Of Billy The Kid,Billy Joel,36,38
172,0.664,0.878,0.36363636363636365,0.7496218198487279,0.0837,0.165,7.64e-06,0.0812,0.222,0.4255365462814587,The Stranger,Billy Joel,37,10
